"#","Node","Tgw","Tgnum","Tanggal","Area","Segmen","Opr","sub_opr","Xch","To Xch","Attempt","Seiz","Conn","Answ","seiz_t","con_t","ans_t","Cct","idle_cct","dial_tout","Occupied","Vacant","Incomplete","rel_early","rel_ring","tg_busy","sub_busy","ring_tout","res_una","Restricts","auth_fail","med_una","Unreach","lack_cap","s_congest","iad_off","n_unspec","protocol_err","Rejected","Intercept","t_control","Lost","seiz_traf","con_traf","ans_traf","Oasr","Po_traf","Pocc"
"1","BM1S","PT1G","309","2020-09-01","REG6","undef","undef","undef","undef","undef","13","5","2","0","18","10","0","31","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0.01","3.23"
"2","BM1S","BP1G","64","2020-09-01","REG6","sljj","telkom","netre-kti","BM1S","DP1S","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","BM1S","BP1G","63","2020-09-01","REG6","sljj","telkom","netre-jatim","BM1S","ML1S","21","11","11","8","688","678","482","30","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0.01","72.73","0.3","3.33"
"4","BM1S","PT1G","102","2020-09-01","REG6","cell","olo","smart","PT1G","SMARTFREN","902","902","791","235","30674","28457","16309","31","0","0","15","108","0","13","344","0","6","9","33","17","0","0","0","0","0","0","136","1","0","0","0","137","0.36","0.33","0.19","26.05","1.8","48.39"
"5","BM1S","PT1G","184","2020-09-01","REG6","cell","olo","H3I","PT1G","H3I PONTIANAK","46482","46482","44839","13282","2058554","1813042","1122651","124","29","0","96","16","3","958","20253","0","897","993","14","1","0","0","137","4","0","0","9878","26","0","0","0","10065","23.83","20.98","12.99","28.57","46.8","77.42"
"6","BM1S","PT1G","395","2020-09-01","REG6","cell","olo","excelcom","PT1G","XL PONTIANAK","14518","14518","13500","3868","699006","598254","379727","248","155","0","38","0","0","626","7918","0","188","610","20","1","0","0","41","1","0","0","1203","37","0","0","0","1287","8.09","6.92","4.39","26.64","15.79","15.32"
"7","BM1S","PT1G","764","2020-09-01","REG6","cell","olo","indosat","PT1G","Isat Pontianak","270827","270827","222020","91084","9009011","7828015","5011258","2573","1932","0","611","128","337","5197","79379","0","1213","7","783","24","0","0","136","6","0","0","88106","4009","0","0","0","92675","104.27","90.6","58","33.63","222.95","23.75"
"8","BM1S","PT1G","908","2020-09-01","REG6","isdn","olo","telkomsel","PT1G","Telkomsel Pontianak","477781","477781","459316","143657","20178061","17640817","11626370","2325","1521","0","711","42","10","13629","145565","0","5673","1232","321","110","0","0","378","5","0","0","163266","1142","0","3","0","166422","233.54","204.18","134.56","30.07","454.99","30.58"
"9","BM1S","BP1G","47","2020-09-01","REG6","isdn","olo","pln","BP1G","PLN123","3582","3582","3554","3552","570166","568690","568102","120","50","0","11","0","0","20","2","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","4","6.6","6.58","6.58","99.16","9.14","18.33"
"10","BM1S","BM1G","851","2020-09-01","REG6","voip","telkom","netre-kal","BM1G","Telkom_Voip","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","BM1S","BP1G","880","2020-09-01","REG6","voip","telkom","netre-kal","BP1G","Voip_Telkom","0","0","0","0","0","0","0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","BM1S","BM1G","5","2020-09-01","REG6","teni","telkom","netre-kal","BM1G","RAS TELKOMNET","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","BM1S","PT1G","610","2020-09-01","REG6","sljj","telkom","netre-kal","PT1G","PTKC","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","BM1S","BP1G","542","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","BP1T","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","BM1S","DEFAULT_NODE_REMARK","511","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","BM1S","BP1G","510","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","TRKN","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","BM1S","BM1G","422","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","GSA1","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","BM1S","BP1G","421","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","GSA2","0","0","0","0","0","0","0","419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","BM1S","BP1G","420","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","GSA1","0","0","0","0","0","0","0","682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
