"#","Node","Tgw","Tgnum","Tanggal","Area","Segmen","Opr","sub_opr","Xch","To Xch","Attempt","Seiz","Conn","Answ","seiz_t","con_t","ans_t","Cct","idle_cct","dial_tout","Occupied","Vacant","Incomplete","rel_early","rel_ring","tg_busy","sub_busy","ring_tout","res_una","Restricts","auth_fail","med_una","Unreach","lack_cap","s_congest","iad_off","n_unspec","protocol_err","Rejected","Intercept","t_control","Lost","seiz_traf","con_traf","ans_traf","Iasr","Pi_traf","Pocc"
"1","BM1S","PT1G","309","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","31","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.23"
"2","BM1S","BP1G","64","2020-09-01","REG6","sljj","telkom","netre-kti","BM1S","DP1S","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","BM1S","BP1G","63","2020-09-01","REG6","sljj","telkom","netre-jatim","BM1S","ML1S","5","5","3","2","176","158","94","30","1","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0.05","3.33"
"4","BM1S","PT1G","102","2020-09-01","REG6","cell","olo","smart","PT1G","SMARTFREN","5986","5986","5816","626","161110","143001","43737","31","0","0","15","0","0","0","4","1","74","29","115","1","0","0","8","0","0","0","5068","3","0","0","0","5082","1.86","1.66","0.51","10.46","9.94","48.39"
"5","BM1S","PT1G","184","2020-09-01","REG6","cell","olo","H3I","PT1G","H3I PONTIANAK","50374","50374","48074","12356","1839763","1648595","899858","124","29","0","96","349","81","898","10604","1","936","429","25","21","0","0","62","0","4","0","24113","98","0","0","0","24443","21.29","19.08","10.42","24.53","50.26","77.42"
"6","BM1S","PT1G","395","2020-09-01","REG6","cell","olo","excelcom","PT1G","XL PONTIANAK","12802","12802","11172","4940","610602","547578","386287","248","155","0","38","482","477","336","4438","0","126","227","7","7","0","0","9","1","0","0","1632","82","0","0","0","1753","7.07","6.34","4.47","38.59","18.13","15.32"
"7","BM1S","PT1G","764","2020-09-01","REG6","cell","olo","indosat","PT1G","Isat Pontianak","373538","373538","356891","120442","16013768","14127125","9820831","2573","1932","0","611","222","102","10121","118120","0","5570","1122","141","76","0","0","317","5","0","0","114439","946","0","0","0","117277","185.34","163.51","113.67","32.24","395.02","23.75"
"8","BM1S","PT1G","908","2020-09-01","REG6","isdn","olo","telkomsel","PT1G","Telkomsel Pontianak","314182","314182","258676","106360","11180107","9902302","6539410","2325","1521","0","711","1644","569","5880","92713","0","5118","3264","985","77","0","0","259","50","1","0","92781","3950","0","0","0","97569","129.4","114.61","75.69","33.85","266.69","30.58"
"9","BM1S","PT1G","640","2020-09-01","REG6","pstn","telkom","netre-kal","PT1G","LE SANGGAU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","BM1S","PT1G","340","2020-09-01","REG6","pstn","telkom","netre-kal","PT1G","LE Ketapang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
